"wave","control_id","control_name","target_id","repository_name","current_decision","current_rationale","decision_owner","decision_source","human_decision","human_rationale","human_decision_owner","human_decision_source","assessment_proposal","assessment_confidence","assessment_evidence_paths","assessment_rationale"
"2D","EMS-CTRL-043","Least Privilege IAM","REPO-001","bluto","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md; releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md; 00-baseline/governance/REPOSITORY-GOVERNANCE-CHARTER.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","release-manifest.json;SHA256SUMS.txt;releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md;releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md;00-baseline/governance/REPOSITORY-GOVERNANCE-CHARTER.md;docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;docs/01-foundation-governance/NON-GOALS.md;docs/02-domain-model/BOUNDED-CONTEXTS.md;docs/02-domain-model/DOMAIN-EVENTS.md;docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;docs/02-domain-model/ENTITY-CATALOGUE.md;docs/02-domain-model/TRACEABILITY-MATRIX.md;docs/03-architecture/ARCHITECTURAL-CONSTRAINTS.md;docs/03-architecture/ARCHITECTURE-REVIEW.md;docs/03-architecture/ARCHITECTURE-TRACEABILITY.md;docs/03-architecture/ARCHITECTURE-VISION.md;docs/03-architecture/CROSS-CUTTING-CONCERNS.md;docs/03-architecture/DATA-ARCHITECTURE.md;docs/03-architecture/DEPLOYMENT-ARCHITECTURE.md;docs/03-architecture/INTEGRATION-ARCHITECTURE.md","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md; releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md; 00-baseline/governance/REPOSITORY-GOVERNANCE-CHARTER.md"
"2D","EMS-CTRL-043","Least Privilege IAM","REPO-002","fiskroad","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: .repos.yml; STATE.md; contracts/vocabulary.yaml; docs/ORIENTATION.md; specs/COMPONENT_GAP_ASSESSMENT_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH",".repos.yml;STATE.md;contracts/vocabulary.yaml;docs/ORIENTATION.md;specs/COMPONENT_GAP_ASSESSMENT_v0.1.md;specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md;specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md;specs/POC_READINESS_INVENTORY.md;specs/PROGRAM_ROADMAP_REQUIREMENTS_v0.1.md;specs/PROGRAM_SHARED_VOCABULARY_v0.3.md;specs/REGULATED_DATA_CONTROLS_v0.1.md;specs/UNSTRUCTURED_RETRIEVAL_SCOPE_v0.1.md;workspace/bluto/release-manifest.json;workspace/bluto/SHA256SUMS.txt;workspace/hometown/package.json;workspace/popeye/STATE.md;workspace/bluto/00-baseline/governance/REPOSITORY-GOVERNANCE-CHARTER.md;workspace/bluto/docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;workspace/bluto/docs/01-foundation-governance/NON-GOALS.md;workspace/bluto/docs/02-domain-model/BOUNDED-CONTEXTS.md","Repository content contains evidence relevant to this control: .repos.yml; STATE.md; contracts/vocabulary.yaml; docs/ORIENTATION.md; specs/COMPONENT_GAP_ASSESSMENT_v0.1.md"
"2D","EMS-CTRL-043","Least Privilege IAM","REPO-003","hometown","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: package.json; cube/README.md; scripts/verify-retrieval-policy.mjs; specs/ANSWER_TRACE_ENVELOPE_v0.1.md; specs/EKG_DESIGN_REQUIREMENTS_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","package.json;cube/README.md;scripts/verify-retrieval-policy.mjs;specs/ANSWER_TRACE_ENVELOPE_v0.1.md;specs/EKG_DESIGN_REQUIREMENTS_v0.1.md;specs/EVAL_HARNESS_MINIMAL_v0.1.md;specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md;specs/IMPLEMENTATION_ROADMAP_NEW_REQUIREMENTS_20260801.md;specs/INTREPID_LOAN_ENGINE_INTEGRATION_NOTES_v0.1.md;specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md;specs/POC_A_HOMETOWN_REGISTRATION.md;specs/README.md;specs/RETRIEVAL_TIERING_AND_SOURCE_LOAD_v0.1.md;specs/ROADMAP.md;specs/SEMANTIC_PATH_DEGRADATION_v0.1.md;specs/STATE.md;specs/TENANT_ISOLATION_DEFENSE_IN_DEPTH_v0.1.md;specs/TRACE_VIEWER_v0.1.md;specs/WHY_CUBE_SEMANTIC_LAYER.md;sql/answer_trace_ddl.sql","Repository content contains evidence relevant to this control: package.json; cube/README.md; scripts/verify-retrieval-policy.mjs; specs/ANSWER_TRACE_ENVELOPE_v0.1.md; specs/EKG_DESIGN_REQUIREMENTS_v0.1.md"
"2D","EMS-CTRL-043","Least Privilege IAM","REPO-004","nono","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: AGENTS.md; Cargo.toml; CHANGELOG.md; CLAUDE.md; README.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","AGENTS.md;Cargo.toml;CHANGELOG.md;CLAUDE.md;README.md;.bg-shell/fix-remaining.py;.claude/settings.local.json;.gsd/CODEBASE.md;.gsd/DECISIONS.md;.gsd/PROJECT.md;.planning/MILESTONES.md;.planning/NONO_WINDOWS_DESIGN_REVIEW_FUTURE_PHASE_v0.1.md;.planning/PROJECT.md;.planning/REQUIREMENTS.md;.planning/RETROSPECTIVE.md;.planning/ROADMAP.md;.planning/STATE.md;.planning/v1.0-INTEGRATION-REPORT.md;.tmp/9ebad89a-package_cmd.rs;.tmp/upstream-cli.rs.txt","Repository content contains evidence relevant to this control: AGENTS.md; Cargo.toml; CHANGELOG.md; CLAUDE.md; README.md"
"2D","EMS-CTRL-043","Least Privilege IAM","REPO-005","olive","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: catalog/crm.case_note@1.yaml; specs/OLIVE_CHARTER_v0.4.md; contracts/examples/action-type.valid.json; contracts/schemas/proposal.schema.json; contracts/vendored/vocabulary.yaml","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","catalog/crm.case_note@1.yaml;specs/OLIVE_CHARTER_v0.4.md;contracts/examples/action-type.valid.json;contracts/schemas/proposal.schema.json;contracts/vendored/vocabulary.yaml;db/migrations/V001__action_broker.sql;src/Olive/Domain.cs;tests/Olive.Tests/RequirementsTests.cs","Repository content contains evidence relevant to this control: catalog/crm.case_note@1.yaml; specs/OLIVE_CHARTER_v0.4.md; contracts/examples/action-type.valid.json; contracts/schemas/proposal.schema.json; contracts/vendored/vocabulary.yaml"
"2D","EMS-CTRL-043","Least Privilege IAM","REPO-006","popeye","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: STATE.md; config/litellm.azure.example.yaml; config/model-approval-registry.example.yaml; scripts/intune-baseurl-profile.ps1; scripts/provision-desktop-keys.ps1","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","STATE.md;config/litellm.azure.example.yaml;config/model-approval-registry.example.yaml;scripts/intune-baseurl-profile.ps1;scripts/provision-desktop-keys.ps1;scripts/Test-PopeyeVerificationVm.ps1;specs/ADR-002-gateway-config-delivery.md;specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md;specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_PROMPT_v0.1.md;specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_SPEC_v0.1.md;specs/DATA_CLASS_ENFORCEMENT_v0.1.md;specs/ENDPOINT_DETECTION_CONTRACT_v0.1.md;specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md;specs/POPEYE_CORRECTIONS_v0.3.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_SPEC_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md;specs/POPEYE_STAGE1_KICKOFF_v0.1.md;specs/ROADMAP.md;specs/STAGE1_STAGE2_MVP_COMPLETION_CHECKLIST_v0.1.md;specs/STATE_BACKEND_ACCESS_CONFIRMATION_v0.1.md","Repository content contains evidence relevant to this control: STATE.md; config/litellm.azure.example.yaml; config/model-approval-registry.example.yaml; scripts/intune-baseurl-profile.ps1; scripts/provision-desktop-keys.ps1"
"2D","EMS-CTRL-044","Secrets Management","REPO-001","bluto","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md; releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md; .github/workflows/wp002-ci.yml","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","release-manifest.json;SHA256SUMS.txt;releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md;releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md;.github/workflows/wp002-ci.yml;docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;docs/01-foundation-governance/ARCHITECTURE-PRINCIPLES.md;docs/01-foundation-governance/GLOSSARY.md;docs/01-foundation-governance/NON-GOALS.md;docs/01-foundation-governance/SCOPE.md;docs/02-domain-model/DOMAIN-MODEL-OVERVIEW.md;docs/02-domain-model/TRACEABILITY-MATRIX.md;docs/02-domain-model/VALUE-OBJECTS.md;docs/03-architecture/ARCHITECTURAL-CONSTRAINTS.md;docs/03-architecture/ARCHITECTURAL-DRIVERS.md;docs/03-architecture/ARCHITECTURE-REVIEW.md;docs/03-architecture/ARCHITECTURE-TRACEABILITY.md;docs/03-architecture/ARCHITECTURE-VIEWS.md;docs/03-architecture/ARCHITECTURE-VISION.md;docs/03-architecture/CROSS-CUTTING-CONCERNS.md","Repository content contains evidence relevant to this control: release-manifest.json; SHA256SUMS.txt; releases/BLUTO_ATE_AND_KEY_OWNERSHIP_v0.3.md; releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md; .github/workflows/wp002-ci.yml"
"2D","EMS-CTRL-044","Secrets Management","REPO-002","fiskroad","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: README.md; STATE.md; docs/AGENT_COORDINATION.md; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","README.md;STATE.md;docs/AGENT_COORDINATION.md;docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md;specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md;specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md;specs/GLOSSARY.md;specs/POC_READINESS_INVENTORY.md;specs/PROGRAM_ROADMAP_REQUIREMENTS_v0.1.md;specs/PROGRAM_SHARED_VOCABULARY_v0.3.md;specs/REGULATED_DATA_CONTROLS_v0.1.md;workspace/bluto/release-manifest.json;workspace/bluto/SHA256SUMS.txt;workspace/popeye/README.md;workspace/popeye/STATE.md;workspace/bluto/.github/workflows/wp002-ci.yml;workspace/bluto/docs/00-authoritative/BLUTO_IDENTITY_SPINE_v0.1.md;workspace/bluto/docs/01-foundation-governance/ARCHITECTURE-PRINCIPLES.md;workspace/bluto/docs/01-foundation-governance/GLOSSARY.md","Repository content contains evidence relevant to this control: README.md; STATE.md; docs/AGENT_COORDINATION.md; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md"
"2D","EMS-CTRL-044","Secrets Management","REPO-003","hometown","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: cube/docker-compose.intrepid-sandbox.yml; cube/docker-compose.intrepid-smoke.yml; cube/docker-compose.yml; cube/README.md; specs/ANSWER_TRACE_ENVELOPE_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","cube/docker-compose.intrepid-sandbox.yml;cube/docker-compose.intrepid-smoke.yml;cube/docker-compose.yml;cube/README.md;specs/ANSWER_TRACE_ENVELOPE_v0.1.md;specs/EKG_DESIGN_REQUIREMENTS_v0.1.md;specs/EVAL_HARNESS_MINIMAL_v0.1.md;specs/HOMETOWN_CORRECTIONS_ATE_v0.3.md;specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md;specs/IMPLEMENTATION_ROADMAP_NEW_REQUIREMENTS_20260801.md;specs/INTREPID_LOAN_ENGINE_INTEGRATION_NOTES_v0.1.md;specs/INTREPID_SANDBOX_SCHEMA_MAPPING_v0.1.md;specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md;specs/NON_PROD_ENDPOINT_LIVE_VERIFICATION_RESPONSIBILITIES_v0.1.md;specs/POC_A_HOMETOWN_REGISTRATION.md;specs/README.md;specs/ROADMAP.md;specs/STATE.md;specs/TENANT_ISOLATION_DEFENSE_IN_DEPTH_v0.1.md;specs/TRACE_VIEWER_v0.1.md","Repository content contains evidence relevant to this control: cube/docker-compose.intrepid-sandbox.yml; cube/docker-compose.intrepid-smoke.yml; cube/docker-compose.yml; cube/README.md; specs/ANSWER_TRACE_ENVELOPE_v0.1.md"
"2D","EMS-CTRL-044","Secrets Management","REPO-004","nono","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: AGENTS.md; Cargo.toml; CHANGELOG.md; CLAUDE.md; Cross.toml","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","AGENTS.md;Cargo.toml;CHANGELOG.md;CLAUDE.md;Cross.toml;nono_state.md;README.md;.claude/settings.local.json;.gsd/CODEBASE.md;.gsd/DECISIONS.md;.gsd/PROJECT.md;.planning/MILESTONES.md;.planning/NONO_WINDOWS_DESIGN_REVIEW_FUTURE_PHASE_v0.1.md;.planning/PROJECT.md;.planning/REQUIREMENTS.md;.planning/RETROSPECTIVE.md;.planning/ROADMAP.md;.planning/STATE.md;.planning/v1.0-INTEGRATION-REPORT.md;.planning/v2.12-MILESTONE-AUDIT.md","Repository content contains evidence relevant to this control: AGENTS.md; Cargo.toml; CHANGELOG.md; CLAUDE.md; Cross.toml"
"2D","EMS-CTRL-044","Secrets Management","REPO-005","olive","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: AGENTS.md; docs/STATUS.md; specs/OLIVE_CHARTER_v0.4.md; src/Olive/Domain.cs","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","AGENTS.md;docs/STATUS.md;specs/OLIVE_CHARTER_v0.4.md;src/Olive/Domain.cs","Repository content contains evidence relevant to this control: AGENTS.md; docs/STATUS.md; specs/OLIVE_CHARTER_v0.4.md; src/Olive/Domain.cs"
"2D","EMS-CTRL-044","Secrets Management","REPO-006","popeye","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: README.md; STATE.md; config/litellm.azure.example.yaml; config/model-approval-registry.example.yaml; scripts/provision-desktop-keys.ps1","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","README.md;STATE.md;config/litellm.azure.example.yaml;config/model-approval-registry.example.yaml;scripts/provision-desktop-keys.ps1;scripts/Test-PopeyeVerificationPsql.ps1;scripts/Test-PopeyeVerificationVm.ps1;specs/ADR-002-gateway-config-delivery.md;specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md;specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_PROMPT_v0.1.md;specs/DATA_CLASS_ENFORCEMENT_IMPLEMENTATION_SPEC_v0.1.md;specs/DATA_CLASS_ENFORCEMENT_v0.1.md;specs/ENDPOINT_DETECTION_CONTRACT_v0.1.md;specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md;specs/POPEYE_CORRECTIONS_v0.3.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_PROMPT_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_REMEDIATION_SPEC_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md;specs/POPEYE_NETWORK_VERIFICATION_PRIMER.md;specs/POPEYE_STAGE1_KICKOFF_v0.1.md","Repository content contains evidence relevant to this control: README.md; STATE.md; config/litellm.azure.example.yaml; config/model-approval-registry.example.yaml; scripts/provision-desktop-keys.ps1"
"2D","EMS-CTRL-045","Cloud Resource Tagging","REPO-001","bluto","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md; docs/04-contracts/EVENT-CONTRACTS.md; docs/06-engineering-standards/LOGGING-OBSERVABILITY.md; docs/06-engineering-standards/REPOSITORY-STANDARDS.md; docs/04-contracts/schemas/bluto-v1.openapi.yaml","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md;docs/04-contracts/EVENT-CONTRACTS.md;docs/06-engineering-standards/LOGGING-OBSERVABILITY.md;docs/06-engineering-standards/REPOSITORY-STANDARDS.md;docs/04-contracts/schemas/bluto-v1.openapi.yaml;repository/evidence/rvec/implementation-wp-003-gate-01.json;repository/evidence/rvec/implementation-wp-003-gate-02.json;repository/evidence/rvec/implementation-wp-003-gate-03.json;repository/evidence/rvec/implementation-wp-003-gate-04.json;repository/evidence/rvec/implementation-wp-003-gate-05.json;repository/evidence/rvec/implementation-wp-003-gate-06.json","Repository content contains evidence relevant to this control: releases/BLUTO_IMPLEMENTATION_REVIEW_v0.1.md; docs/04-contracts/EVENT-CONTRACTS.md; docs/06-engineering-standards/LOGGING-OBSERVABILITY.md; docs/06-engineering-standards/REPOSITORY-STANDARDS.md; docs/04-contracts/schemas/bluto-v1.openapi.yaml"
"2D","EMS-CTRL-045","Cloud Resource Tagging","REPO-002","fiskroad","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: contracts/vocabulary.yaml; docs/AGENT_COORDINATION.md; specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md; specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md; specs/GLOSSARY.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","contracts/vocabulary.yaml;docs/AGENT_COORDINATION.md;specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md;specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md;specs/GLOSSARY.md;specs/POC_READINESS_INVENTORY.md;specs/PROGRAM_ROADMAP_REQUIREMENTS_v0.1.md;specs/PROGRAM_SHARED_VOCABULARY_v0.3.md;specs/REGULATED_DATA_CONTROLS_v0.1.md;workspace/bluto/docs/04-contracts/EVENT-CONTRACTS.md;workspace/bluto/docs/06-engineering-standards/LOGGING-OBSERVABILITY.md;workspace/bluto/docs/06-engineering-standards/REPOSITORY-STANDARDS.md;workspace/bluto/docs/04-contracts/schemas/bluto-v1.openapi.yaml;workspace/bluto/repository/evidence/rvec/implementation-wp-003-gate-01.json;workspace/bluto/repository/evidence/rvec/implementation-wp-003-gate-02.json;workspace/bluto/repository/evidence/rvec/implementation-wp-003-gate-03.json;workspace/bluto/repository/evidence/rvec/implementation-wp-003-gate-04.json;workspace/bluto/repository/evidence/rvec/implementation-wp-003-gate-05.json;workspace/bluto/repository/evidence/rvec/implementation-wp-003-gate-06.json;workspace/hometown/contracts/vocabulary.yaml","Repository content contains evidence relevant to this control: contracts/vocabulary.yaml; docs/AGENT_COORDINATION.md; specs/ECOSYSTEM_PORTFOLIO_AND_GAP_ANALYSIS_v0.1.md; specs/FISKROAD_ARCHITECTURE_EVALUATION_v0.1.md; specs/GLOSSARY.md"
"2D","EMS-CTRL-045","Cloud Resource Tagging","REPO-003","hometown","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: specs/ANSWER_TRACE_ENVELOPE_v0.1.md; specs/EVAL_HARNESS_MINIMAL_v0.1.md; specs/HOMETOWN_CORRECTIONS_ATE_v0.3.md; specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md; specs/IMPLEMENTATION_ROADMAP_NEW_REQUIREMENTS_20260801.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","specs/ANSWER_TRACE_ENVELOPE_v0.1.md;specs/EVAL_HARNESS_MINIMAL_v0.1.md;specs/HOMETOWN_CORRECTIONS_ATE_v0.3.md;specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md;specs/IMPLEMENTATION_ROADMAP_NEW_REQUIREMENTS_20260801.md;specs/INTREPID_SANDBOX_SCHEMA_MAPPING_v0.1.md;specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md;specs/NON_PROD_ENDPOINT_LIVE_VERIFICATION_RESPONSIBILITIES_v0.1.md;specs/POC_A_HOMETOWN_REGISTRATION.md;specs/ROADMAP.md;specs/SEMANTIC_PATH_DEGRADATION_v0.1.md;specs/STATE.md;specs/TRACE_VIEWER_v0.1.md;contracts/vendored/vocabulary.yaml;cube/model/crm_ref_data.yml;src/integrations/crm/source-contract.ts","Repository content contains evidence relevant to this control: specs/ANSWER_TRACE_ENVELOPE_v0.1.md; specs/EVAL_HARNESS_MINIMAL_v0.1.md; specs/HOMETOWN_CORRECTIONS_ATE_v0.3.md; specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md; specs/IMPLEMENTATION_ROADMAP_NEW_REQUIREMENTS_20260801.md"
"2D","EMS-CTRL-045","Cloud Resource Tagging","REPO-004","nono","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: CHANGELOG.md; CLAUDE.md; .claude/settings.local.json; .gsd/CODEBASE.md; .gsd/DECISIONS.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","CHANGELOG.md;CLAUDE.md;.claude/settings.local.json;.gsd/CODEBASE.md;.gsd/DECISIONS.md;.gsd/PROJECT.md;.planning/MILESTONES.md;.planning/NONO_WINDOWS_DESIGN_REVIEW_FUTURE_PHASE_v0.1.md;.planning/PROJECT.md;.planning/REQUIREMENTS.md;.planning/RETROSPECTIVE.md;.planning/ROADMAP.md;.planning/STATE.md;.tmp/9ebad89a-package_cmd.rs;.tmp/upstream-package.rs.txt;docs/docs.json;proj/ADR-100-ci-pipeline-reconcile.md;proj/ADR-116-tool-sandbox-disposition.md;proj/ADR-98-network-intent-disposition.md;proj/DESIGN-engine-abstraction.md","Repository content contains evidence relevant to this control: CHANGELOG.md; CLAUDE.md; .claude/settings.local.json; .gsd/CODEBASE.md; .gsd/DECISIONS.md"
"2D","EMS-CTRL-045","Cloud Resource Tagging","REPO-005","olive","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: contracts/vendored/vocabulary.yaml","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","MEDIUM","contracts/vendored/vocabulary.yaml","Repository content contains evidence relevant to this control: contracts/vendored/vocabulary.yaml"
"2D","EMS-CTRL-045","Cloud Resource Tagging","REPO-006","popeye","REVIEW_REQUIRED","IaC/cloud applicability cannot be proven from repository metadata.","Engineering Management","POLICY_IAC_UNKNOWN","APPLICABLE","Repository content contains evidence relevant to this control: scripts/Get-ModelAllowlist.ps1; specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md; specs/DATA_CLASS_ENFORCEMENT_v0.1.md; specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md; specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md","Engineering Management","HUMAN_REPOSITORY_EVIDENCE_REVIEW","PROPOSE_APPLICABLE","HIGH","scripts/Get-ModelAllowlist.ps1;specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md;specs/DATA_CLASS_ENFORCEMENT_v0.1.md;specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md;specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md;specs/POPEYE_STAGE1_KICKOFF_v0.1.md;specs/ROADMAP.md;specs/STAGE1_STAGE2_MVP_COMPLETION_CHECKLIST_v0.1.md;config/vendored/vocabulary.yaml;envs/azure-eastus2/main.tf;envs/azure-eastus2/terraform.tfvars;envs/azure-eastus2/variables.tf;modules/breakglass-azure/main.tf;modules/breakglass-azure/variables.tf;modules/gateway-observability-azure/main.tf;modules/gateway-observability-azure/variables.tf;modules/gateway-service-azure/main.tf;modules/gateway-service-azure/variables.tf;modules/gateway-state-azure/main.tf;modules/gateway-state-azure/variables.tf","Repository content contains evidence relevant to this control: scripts/Get-ModelAllowlist.ps1; specs/AI_USAGE_GOVERNANCE_ROADMAP_v0.2.md; specs/DATA_CLASS_ENFORCEMENT_v0.1.md; specs/GATEWAY_INFRASTRUCTURE_PLAN_v0.1.md; specs/POPEYE_IMPLEMENTATION_REVIEW_v0.1.md"
